school_id_A,school_id_B,root_school_name_A,root_school_name_B,school_level_A,school_level_B,district_A,district_B,Fuzzy_match_score,Match_Type
2,11142,chenakhama,chhenkhama,pravi,avi,bhojpur,bhojpur,2.5,"District: complete, School level: no match, Root name: complete"
4,62967,shri shamkara,shiv shankar,mavi,mavi,tanahun,jajarkot,2.5,"District: no match, School level: complete, Root name: complete"
5,12346,janajagrriti,jana jagriti,mavi,mavi,tanahun,solukhumbu,2.5,"District: no match, School level: complete, Root name: complete"
6,1108,da~nasi~najare,aitabare,pravi,pravi,bhojpur,bhojpur,2.0,"District: complete, School level: complete, Root name: partial"
7,14464,cha~nachaha~nga,pancha kanya,pravi,pravi,bhojpur,bhojpur,2.0,"District: complete, School level: complete, Root name: partial"
8,11060,kheshvara,chandeshwary,pravi,pravi,bhojpur,bhojpur,2.0,"District: complete, School level: complete, Root name: partial"
14,12169,jalpa,jalapa,nimavi,avi,bhojpur,bhojpur,2.5,"District: complete, School level: no match, Root name: complete"
20,11059,chandeshvara,chandeshwari,mavi,mavi,bhojpur,okhaldhunga,2.5,"District: no match, School level: complete, Root name: complete"
28,16646,siddheshvara,siddheshwari,avi,avi,lalitpur,ilam,2.5,"District: no match, School level: complete, Root name: complete"
31,15850,shitaladevi,shitala devi,pravi,avi,bhojpur,bhojpur,2.5,"District: complete, School level: no match, Root name: complete"
32,16712,simha bahini,singha bahini,pravi,avi,bhojpur,bhojpur,2.5,"District: complete, School level: no match, Root name: complete"
36,1759,simha jaleshvari,bhimeshwori,nimavi,avi,bhojpur,bhojpur,1.5,"District: complete, School level: no match, Root name: partial"
39,15850,sitala devi,shitala devi,pravi,avi,bhojpur,bhojpur,2.5,"District: complete, School level: no match, Root name: complete"
43,179,,,avi,avi,siraha,sunsari,2.5,"District: no match, School level: complete, Root name: complete"
44,42006,jharagau,jhargaun,pravi,avi,tanahun,tanahun,2.5,"District: complete, School level: no match, Root name: complete"
47,17258,timma,timma,pravi,mavi,bhojpur,bhojpur,2.5,"District: complete, School level: no match, Root name: complete"
48,13638,pancha kanya,maha kanya,pravi,pravi,panchthar,khotang,2.5,"District: no match, School level: complete, Root name: complete"
50,130,vani,adarniya,mavi,mavi,siraha,ilam,1.5,"District: no match, School level: complete, Root name: partial"
52,4884,chimkeshvari,chhimkeshwary,nimavi,mavi,tanahun,tanahun,2.5,"District: complete, School level: no match, Root name: complete"
53,15028,rashtiya,rastriya,nimavi,avi,ilam,ilam,2.5,"District: complete, School level: no match, Root name: complete"
54,13287,kiramteshvara,kumitar,pravi,pravi,ilam,ilam,2.0,"District: complete, School level: complete, Root name: partial"
56,130,adaraniya,adarniya,nimavi,mavi,ilam,ilam,2.5,"District: complete, School level: no match, Root name: complete"
58,13683,millachoka,mahakali,nimavi,nimavi,ilam,sankhuwasabha,1.5,"District: no match, School level: complete, Root name: partial"
60,16676,shikshakshamakanya,siksha kshamakanya,pravi,mavi,bhojpur,bhojpur,2.5,"District: complete, School level: no match, Root name: complete"
61,1654,balamiteri,bhagawati,mavi,mavi,bhojpur,bhojpur,2.0,"District: complete, School level: complete, Root name: partial"
64,1562,shri,basbari,mavi,mavi,chitwan,jhapa,1.5,"District: no match, School level: complete, Root name: partial"
65,13189,khartancha,khartamchha,nimavi,mavi,bhojpur,bhojpur,2.5,"District: complete, School level: no match, Root name: complete"
70,1992,vidyadhari,buddha,pravi,pravi,bhojpur,bhojpur,2.0,"District: complete, School level: complete, Root name: partial"
73,130,varabhanjya,adarniya,nimavi,mavi,ilam,ilam,1.5,"District: complete, School level: no match, Root name: partial"
81,12207,simheshvari,jaleswari,avi,avi,ilam,ilam,2.0,"District: complete, School level: complete, Root name: partial"
83,71044,dobhana,doblanga,pravi,pravi,ilam,dadeldhura,2.5,"District: no match, School level: complete, Root name: complete"
86,1816,vidya,bidya,pravi,avi,ilam,ilam,2.5,"District: complete, School level: no match, Root name: complete"
85,140,iraumtara,adarsha,avi,avi,ilam,ilam,2.0,"District: complete, School level: complete, Root name: partial"
87,13775,maheshvara,maheshwara,pravi,avi,ilam,ilam,2.5,"District: complete, School level: no match, Root name: complete"
88,11327,vikri,devismrity,pravi,pravi,ilam,ilam,2.0,"District: complete, School level: complete, Root name: partial"
90,11294,deurali,deurali,pravi,pravi,ilam,dhankuta,2.5,"District: no match, School level: complete, Root name: complete"
91,140,adarsha,adarsha,pravi,avi,ilam,ilam,2.5,"District: complete, School level: no match, Root name: complete"
94,11463,drripadavi,dripa devi,pravi,avi,ilam,ilam,2.5,"District: complete, School level: no match, Root name: complete"
102,16594,siddhamahakali,siddha kali,mavi,mavi,tanahun,panchthar,2.5,"District: no match, School level: complete, Root name: complete"
103,13390,lakshmi narayana,laxmi narayan,pravi,avi,bhojpur,bhojpur,2.5,"District: complete, School level: no match, Root name: complete"
104,14905,rachana,rachana,pravi,avi,bhojpur,bhojpur,2.5,"District: complete, School level: no match, Root name: complete"
108,12901,jyoti,jyoti,pravi,avi,bhojpur,bhojpur,2.5,"District: complete, School level: no match, Root name: complete"
109,13670,simhadevi,mahadevi,mavi,avi,bhojpur,bhojpur,2.5,"District: complete, School level: no match, Root name: complete"
110,42336,lakshmi,laxmi,mavi,mavi,syangja,syangja,2.0,"District: complete, School level: complete, Root name: partial"
111,1414,ananda,bal nanda,avi,avi,bardiya,panchthar,2.5,"District: no match, School level: complete, Root name: complete"
115,12498,janaka,janak,mavi,mavi,nawalparasi,sunsari,2.5,"District: no match, School level: complete, Root name: complete"
